日期,时间,类型,金额,一级分类,二级分类,账户,备注,标签
2026/03/16,01:25,支出,50.00,交通,停车,现金,,
2026/03/16,09:37,支出,8.00,餐饮,早餐,现金,,
2026/03/17,01:02,支出,1333.25,购物,数码,现金,[分期 1/12] macbook,
2026/03/17,09:20,支出,7.50,餐饮,早餐,现金,,
2026/03/17,15:52,支出,191.58,购物,数码,现金,[分期 1/12],
2026/03/19,15:52,支出,25.00,其他,其他,现金,烟,
2026/03/20,20:20,支出,28.00,其他,其他,现金,,
2026/03/21,16:36,支出,685.00,购物,日用,现金,,
2026/03/22,03:06,支出,55.00,其他,洗衣,现金,,
2026/03/22,19:53,支出,10.00,餐饮,咖啡,现金,,
2026/03/23,14:05,支出,25.00,其他,其他,现金,,
2026/03/24,00:15,支出,77.00,交通,停车,现金,,
2026/03/24,00:16,支出,3.00,其他,其他,现金,,
2026/03/24,21:29,支出,35.00,餐饮,零食,现金,,
2026/03/25,00:38,支出,25.00,餐饮,夜宵,现金,,
2026/03/25,13:15,支出,44.00,其他,宠物,现金,洁牙冻干,
2026/03/25,17:33,支出,24.00,餐饮,午餐,现金,,
2026/03/25,19:32,支出,300.00,其他,其他,现金,律师费,
2026/04/17,01:02,支出,1333.25,购物,数码,现金,[分期 2/12] macbook,
2026/04/17,15:52,支出,191.58,购物,数码,现金,[分期 2/12],
2026/05/17,01:02,支出,1333.25,购物,数码,现金,[分期 3/12] macbook,
2026/05/17,15:52,支出,191.58,购物,数码,现金,[分期 3/12],
2026/06/17,01:02,支出,1333.25,购物,数码,现金,[分期 4/12] macbook,
2026/06/17,15:52,支出,191.58,购物,数码,现金,[分期 4/12],
2026/07/17,01:02,支出,1333.25,购物,数码,现金,[分期 5/12] macbook,
2026/07/17,15:52,支出,191.58,购物,数码,现金,[分期 5/12],
2026/08/17,01:02,支出,1333.25,购物,数码,现金,[分期 6/12] macbook,
2026/08/17,15:52,支出,191.58,购物,数码,现金,[分期 6/12],
2026/09/17,01:02,支出,1333.25,购物,数码,现金,[分期 7/12] macbook,
2026/09/17,15:52,支出,191.58,购物,数码,现金,[分期 7/12],
2026/10/17,01:02,支出,1333.25,购物,数码,现金,[分期 8/12] macbook,
2026/10/17,15:52,支出,191.58,购物,数码,现金,[分期 8/12],
2026/11/17,01:02,支出,1333.25,购物,数码,现金,[分期 9/12] macbook,
2026/11/17,15:52,支出,191.58,购物,数码,现金,[分期 9/12],
2026/12/17,01:02,支出,1333.25,购物,数码,现金,[分期 10/12] macbook,
2026/12/17,15:52,支出,191.58,购物,数码,现金,[分期 10/12],
2027/01/17,01:02,支出,1333.25,购物,数码,现金,[分期 11/12] macbook,
2027/01/17,15:52,支出,191.58,购物,数码,现金,[分期 11/12],
2027/02/17,01:02,支出,1333.25,购物,数码,现金,[分期 12/12] macbook,
2027/02/17,15:52,支出,191.58,购物,数码,现金,[分期 12/12],
